geo,year,gdp_total_ppp_inflation_adjusted
afg,1800,1977840000
afg,1801,1977840000
afg,1802,1977840000
afg,1803,1977840000
afg,1804,1977840000
afg,1805,1977840000
afg,1806,1977840000
afg,1807,1977840000
afg,1808,1977840000
afg,1809,1977840000
afg,1810,1981120000
afg,1811,1981590516
afg,1812,1982534568
afg,1813,1983953968
afg,1814,1985851736
afg,1815,1988229080
afg,1816,1991089624
afg,1817,1994434576
afg,1818,1998267560
afg,1819,2002590388
afg,1820,2007405476
afg,1821,2022712777
afg,1822,2035232934
afg,1823,2048296848
afg,1824,2061912546
afg,1825,2076086865
afg,1826,2090828517
afg,1827,2106143786
afg,1828,2122041456
afg,1829,2138528490
afg,1830,2155613750
afg,1831,2173303638
afg,1832,2194599960
afg,1833,2212554264
afg,1834,2230632632
afg,1835,2248836216
afg,1836,2267166176
afg,1837,2285623040
afg,1838,2307797087
afg,1839,2326528545
afg,1840,2345389234
afg,1841,2364379688
afg,1842,2383502394
afg,1843,2406435510
afg,1844,2425840768
afg,1845,2445380014
afg,1846,2465053800
afg,1847,2488616247
afg,1848,2508580165
afg,1849,2528681709
afg,1850,2548921443
afg,1851,2571166080
afg,1852,2589709526
afg,1853,2608362224
afg,1854,2627124570
afg,1855,2649888813
afg,1856,2668889434
afg,1857,2688000965
afg,1858,2711165824
afg,1859,2730519060
afg,1860,2749985856
afg,1861,2773864540
afg,1862,2794195633
afg,1863,2814960375
afg,1864,2840209866
afg,1865,2861879680
afg,1866,2888087223
afg,1867,2910690314
afg,1868,2933760195
afg,1869,2961452088
afg,1870,2985498040
afg,1871,3014224155
afg,1872,3039276002
afg,1873,3067110884
afg,1874,3093289980
afg,1875,3124307376
afg,1876,3151624628
afg,1877,3182702538
afg,1878,3211491104
afg,1879,3245302242
afg,1880,3274993995
afg,1881,3308924376
afg,1882,3339133300
afg,1883,3374096698
afg,1884,3404425690
afg,1885,3439977216
afg,1886,3471251112
afg,1887,3507041472
afg,1888,3538858514
afg,1889,3575617792
afg,1890,3612701157
afg,1891,3645370676
afg,1892,3683079216
afg,1893,3716317656
afg,1894,3754660581
afg,1895,3793341240
afg,1896,3827466156
afg,1897,3866796175
afg,1898,3906470600
afg,1899,3941503550
afg,1900,3981844113
afg,1901,4022537444
afg,1902,4058151594
afg,1903,4099522005
afg,1904,4141254456
afg,1905,4183350003
